Athlete,Statistic,Team,Total
"Aiken, R",attempt_from_zone1,Queensland Firebirds,674
"Aiken, R",attempt_from_zone2,Queensland Firebirds,11
"Aiken, R",attempts1,Queensland Firebirds,674
"Aiken, R",attempts2,Queensland Firebirds,11
"Aiken, R",badHands,Queensland Firebirds,20
"Aiken, R",badPasses,Queensland Firebirds,6
"Aiken, R",blocked,Queensland Firebirds,1
"Aiken, R",blocks,Queensland Firebirds,0
"Aiken, R",breaks,Queensland Firebirds,0
"Aiken, R",centrePassReceives,Queensland Firebirds,0
"Aiken, R",centrePassToGoalPerc,Queensland Firebirds,0
"Aiken, R",contactPenalties,Queensland Firebirds,29
"Aiken, R",deflections,Queensland Firebirds,8
"Aiken, R",deflectionWithGain,Queensland Firebirds,2
"Aiken, R",deflectionWithNoGain,Queensland Firebirds,4
"Aiken, R",disposals,Queensland Firebirds,774
"Aiken, R",feeds,Queensland Firebirds,89
"Aiken, R",feedWithAttempt,Queensland Firebirds,58
"Aiken, R",gain,Queensland Firebirds,2
"Aiken, R",gainToGoalPerc,Queensland Firebirds,0
"Aiken, R",generalPlayTurnovers,Queensland Firebirds,62
"Aiken, R",goal_from_zone1,Queensland Firebirds,577
"Aiken, R",goal_from_zone2,Queensland Firebirds,5
"Aiken, R",goal1,Queensland Firebirds,577
"Aiken, R",goal2,Queensland Firebirds,5
"Aiken, R",goalAssists,Queensland Firebirds,33
"Aiken, R",goalAttempts,Queensland Firebirds,685
"Aiken, R",goalMisses,Queensland Firebirds,103
"Aiken, R",goals,Queensland Firebirds,582
"Aiken, R",interceptPassThrown,Queensland Firebirds,6
"Aiken, R",intercepts,Queensland Firebirds,0
"Aiken, R",minutesPlayed,Queensland Firebirds,818
"Aiken, R",missedGoalTurnover,Queensland Firebirds,12
"Aiken, R",netPoints,Queensland Firebirds,1002
"Aiken, R",obstructionPenalties,Queensland Firebirds,12
"Aiken, R",offsides,Queensland Firebirds,1
"Aiken, R",passes,Queensland Firebirds,89
"Aiken, R",penalties,Queensland Firebirds,43
"Aiken, R",pickups,Queensland Firebirds,22
"Aiken, R",points,Queensland Firebirds,587
"Aiken, R",possessionChanges,Queensland Firebirds,74
"Aiken, R",possessions,Queensland Firebirds,818
"Aiken, R",quartersPlayed,Queensland Firebirds,56
"Aiken, R",rebounds,Queensland Firebirds,111
"Aiken, R",tossUpWin,Queensland Firebirds,0
"Allen, N",attempt_from_zone1,Collingwood Magpies,16
"Allen, N",attempt_from_zone2,Collingwood Magpies,27
"Allen, N",attempts1,Collingwood Magpies,16
"Allen, N",attempts2,Collingwood Magpies,27
"Allen, N",badHands,Collingwood Magpies,3
"Allen, N",badPasses,Collingwood Magpies,1
"Allen, N",blocked,Collingwood Magpies,0
"Allen, N",blocks,Collingwood Magpies,0
"Allen, N",breaks,Collingwood Magpies,0
"Allen, N",centrePassReceives,Collingwood Magpies,16
"Allen, N",centrePassToGoalPerc,Collingwood Magpies,0
"Allen, N",contactPenalties,Collingwood Magpies,5
"Allen, N",deflections,Collingwood Magpies,2
"Allen, N",deflectionWithGain,Collingwood Magpies,0
"Allen, N",deflectionWithNoGain,Collingwood Magpies,2
"Allen, N",disposals,Collingwood Magpies,73
"Allen, N",feeds,Collingwood Magpies,28
"Allen, N",feedWithAttempt,Collingwood Magpies,19
"Allen, N",gain,Collingwood Magpies,0
"Allen, N",gainToGoalPerc,Collingwood Magpies,0
"Allen, N",generalPlayTurnovers,Collingwood Magpies,10
"Allen, N",goal_from_zone1,Collingwood Magpies,16
"Allen, N",goal_from_zone2,Collingwood Magpies,13
"Allen, N",goal1,Collingwood Magpies,16
"Allen, N",goal2,Collingwood Magpies,13
"Allen, N",goalAssists,Collingwood Magpies,18
"Allen, N",goalAttempts,Collingwood Magpies,43
"Allen, N",goalMisses,Collingwood Magpies,14
"Allen, N",goals,Collingwood Magpies,29
"Allen, N",interceptPassThrown,Collingwood Magpies,2
"Allen, N",intercepts,Collingwood Magpies,0
"Allen, N",minutesPlayed,Collingwood Magpies,85
"Allen, N",missedGoalTurnover,Collingwood Magpies,4
"Allen, N",netPoints,Collingwood Magpies,21.5
"Allen, N",obstructionPenalties,Collingwood Magpies,2
"Allen, N",offsides,Collingwood Magpies,0
"Allen, N",passes,Collingwood Magpies,28
"Allen, N",penalties,Collingwood Magpies,7
"Allen, N",pickups,Collingwood Magpies,1
"Allen, N",points,Collingwood Magpies,42
"Allen, N",possessionChanges,Collingwood Magpies,14
"Allen, N",possessions,Collingwood Magpies,63
"Allen, N",quartersPlayed,Collingwood Magpies,17
"Allen, N",rebounds,Collingwood Magpies,1
"Allen, N",tossUpWin,Collingwood Magpies,0
"Altmann, K",attempt_from_zone1,Collingwood Magpies,0
"Altmann, K",attempt_from_zone2,Collingwood Magpies,0
"Altmann, K",attempts1,Collingwood Magpies,0
"Altmann, K",attempts2,Collingwood Magpies,0
"Altmann, K",badHands,Collingwood Magpies,4
"Altmann, K",badPasses,Collingwood Magpies,10
"Altmann, K",blocked,Collingwood Magpies,0
"Altmann, K",blocks,Collingwood Magpies,0
"Altmann, K",breaks,Collingwood Magpies,0
"Altmann, K",centrePassReceives,Collingwood Magpies,81
"Altmann, K",centrePassToGoalPerc,Collingwood Magpies,0
"Altmann, K",contactPenalties,Collingwood Magpies,29
"Altmann, K",deflections,Collingwood Magpies,7
"Altmann, K",deflectionWithGain,Collingwood Magpies,2
"Altmann, K",deflectionWithNoGain,Collingwood Magpies,5
"Altmann, K",disposals,Collingwood Magpies,159
"Altmann, K",feeds,Collingwood Magpies,148
"Altmann, K",feedWithAttempt,Collingwood Magpies,92
"Altmann, K",gain,Collingwood Magpies,3
"Altmann, K",gainToGoalPerc,Collingwood Magpies,0
"Altmann, K",generalPlayTurnovers,Collingwood Magpies,32
"Altmann, K",goal_from_zone1,Collingwood Magpies,0
"Altmann, K",goal_from_zone2,Collingwood Magpies,0
"Altmann, K",goal1,Collingwood Magpies,0
"Altmann, K",goal2,Collingwood Magpies,0
"Altmann, K",goalAssists,Collingwood Magpies,64
"Altmann, K",goalAttempts,Collingwood Magpies,0
"Altmann, K",goalMisses,Collingwood Magpies,0
"Altmann, K",goals,Collingwood Magpies,0
"Altmann, K",interceptPassThrown,Collingwood Magpies,8
"Altmann, K",intercepts,Collingwood Magpies,1
"Altmann, K",minutesPlayed,Collingwood Magpies,330
"Altmann, K",missedGoalTurnover,Collingwood Magpies,0
"Altmann, K",netPoints,Collingwood Magpies,169
"Altmann, K",obstructionPenalties,Collingwood Magpies,1
"Altmann, K",offsides,Collingwood Magpies,1
"Altmann, K",passes,Collingwood Magpies,148
"Altmann, K",penalties,Collingwood Magpies,30
"Altmann, K",pickups,Collingwood Magpies,12
"Altmann, K",points,Collingwood Magpies,0
"Altmann, K",possessionChanges,Collingwood Magpies,32
"Altmann, K",possessions,Collingwood Magpies,107
"Altmann, K",quartersPlayed,Collingwood Magpies,28
"Altmann, K",rebounds,Collingwood Magpies,0
"Altmann, K",tossUpWin,Collingwood Magpies,0
"Anstiss, J",attempt_from_zone1,West Coast Fever,0
"Anstiss, J",attempt_from_zone2,West Coast Fever,0
"Anstiss, J",attempts1,West Coast Fever,0
"Anstiss, J",attempts2,West Coast Fever,0
"Anstiss, J",badHands,West Coast Fever,1
"Anstiss, J",badPasses,West Coast Fever,2
"Anstiss, J",blocked,West Coast Fever,0
"Anstiss, J",blocks,West Coast Fever,0
"Anstiss, J",breaks,West Coast Fever,3
"Anstiss, J",centrePassReceives,West Coast Fever,56
"Anstiss, J",centrePassToGoalPerc,West Coast Fever,0
"Anstiss, J",contactPenalties,West Coast Fever,67
"Anstiss, J",deflections,West Coast Fever,21
"Anstiss, J",deflectionWithGain,West Coast Fever,5
"Anstiss, J",deflectionWithNoGain,West Coast Fever,16
"Anstiss, J",disposals,West Coast Fever,80
"Anstiss, J",feeds,West Coast Fever,65
"Anstiss, J",feedWithAttempt,West Coast Fever,50
"Anstiss, J",gain,West Coast Fever,14
"Anstiss, J",gainToGoalPerc,West Coast Fever,0
"Anstiss, J",generalPlayTurnovers,West Coast Fever,18
"Anstiss, J",goal_from_zone1,West Coast Fever,0
"Anstiss, J",goal_from_zone2,West Coast Fever,0
"Anstiss, J",goal1,West Coast Fever,0
"Anstiss, J",goal2,West Coast Fever,0
"Anstiss, J",goalAssists,West Coast Fever,43
"Anstiss, J",goalAttempts,West Coast Fever,0
"Anstiss, J",goalMisses,West Coast Fever,0
"Anstiss, J",goals,West Coast Fever,0
"Anstiss, J",interceptPassThrown,West Coast Fever,9
"Anstiss, J",intercepts,West Coast Fever,9
"Anstiss, J",minutesPlayed,West Coast Fever,801
"Anstiss, J",missedGoalTurnover,West Coast Fever,0
"Anstiss, J",netPoints,West Coast Fever,472.5
"Anstiss, J",obstructionPenalties,West Coast Fever,13
"Anstiss, J",offsides,West Coast Fever,4
"Anstiss, J",passes,West Coast Fever,65
"Anstiss, J",penalties,West Coast Fever,81
"Anstiss, J",pickups,West Coast Fever,33
"Anstiss, J",points,West Coast Fever,0
"Anstiss, J",possessionChanges,West Coast Fever,18
"Anstiss, J",possessions,West Coast Fever,132
"Anstiss, J",quartersPlayed,West Coast Fever,55
"Anstiss, J",rebounds,West Coast Fever,0
"Anstiss, J",tossUpWin,West Coast Fever,0
"Aryang, S",attempt_from_zone1,West Coast Fever,0
"Aryang, S",attempt_from_zone2,West Coast Fever,0
"Aryang, S",attempts1,West Coast Fever,0
"Aryang, S",attempts2,West Coast Fever,0
"Aryang, S",badHands,West Coast Fever,1
"Aryang, S",badPasses,West Coast Fever,0
"Aryang, S",blocked,West Coast Fever,0
"Aryang, S",blocks,West Coast Fever,0
"Aryang, S",breaks,West Coast Fever,3
"Aryang, S",centrePassReceives,West Coast Fever,15
"Aryang, S",centrePassToGoalPerc,West Coast Fever,0
"Aryang, S",contactPenalties,West Coast Fever,38
"Aryang, S",deflections,West Coast Fever,24
"Aryang, S",deflectionWithGain,West Coast Fever,3
"Aryang, S",deflectionWithNoGain,West Coast Fever,21
"Aryang, S",disposals,West Coast Fever,2
"Aryang, S",feeds,West Coast Fever,0
"Aryang, S",feedWithAttempt,West Coast Fever,0
"Aryang, S",gain,West Coast Fever,16
"Aryang, S",gainToGoalPerc,West Coast Fever,0
"Aryang, S",generalPlayTurnovers,West Coast Fever,8
"Aryang, S",goal_from_zone1,West Coast Fever,0
"Aryang, S",goal_from_zone2,West Coast Fever,0
"Aryang, S",goal1,West Coast Fever,0
"Aryang, S",goal2,West Coast Fever,0
"Aryang, S",goalAssists,West Coast Fever,0
"Aryang, S",goalAttempts,West Coast Fever,0
"Aryang, S",goalMisses,West Coast Fever,0
"Aryang, S",goals,West Coast Fever,0
"Aryang, S",interceptPassThrown,West Coast Fever,4
"Aryang, S",intercepts,West Coast Fever,7
"Aryang, S",minutesPlayed,West Coast Fever,338
"Aryang, S",missedGoalTurnover,West Coast Fever,0
"Aryang, S",netPoints,West Coast Fever,165
"Aryang, S",obstructionPenalties,West Coast Fever,10
"Aryang, S",offsides,West Coast Fever,0
"Aryang, S",passes,West Coast Fever,0
"Aryang, S",penalties,West Coast Fever,48
"Aryang, S",pickups,West Coast Fever,5
"Aryang, S",points,West Coast Fever,0
"Aryang, S",possessionChanges,West Coast Fever,8
"Aryang, S",possessions,West Coast Fever,37
"Aryang, S",quartersPlayed,West Coast Fever,33
"Aryang, S",rebounds,West Coast Fever,6
"Aryang, S",tossUpWin,West Coast Fever,0
"Austin, K",attempt_from_zone1,GIANTS Netball,261
"Austin, K",attempt_from_zone2,GIANTS Netball,81
"Austin, K",attempts1,GIANTS Netball,261
"Austin, K",attempts2,GIANTS Netball,81
"Austin, K",badHands,GIANTS Netball,7
"Austin, K",badPasses,GIANTS Netball,13
"Austin, K",blocked,GIANTS Netball,8
"Austin, K",blocks,GIANTS Netball,0
"Austin, K",breaks,GIANTS Netball,1
"Austin, K",centrePassReceives,GIANTS Netball,289
"Austin, K",centrePassToGoalPerc,GIANTS Netball,0
"Austin, K",contactPenalties,GIANTS Netball,63
"Austin, K",deflections,GIANTS Netball,27
"Austin, K",deflectionWithGain,GIANTS Netball,6
"Austin, K",deflectionWithNoGain,GIANTS Netball,18
"Austin, K",disposals,GIANTS Netball,610
"Austin, K",feeds,GIANTS Netball,234
"Austin, K",feedWithAttempt,GIANTS Netball,182
"Austin, K",gain,GIANTS Netball,19
"Austin, K",gainToGoalPerc,GIANTS Netball,0
"Austin, K",generalPlayTurnovers,GIANTS Netball,75
"Austin, K",goal_from_zone1,GIANTS Netball,207
"Austin, K",goal_from_zone2,GIANTS Netball,42
"Austin, K",goal1,GIANTS Netball,207
"Austin, K",goal2,GIANTS Netball,42
"Austin, K",goalAssists,GIANTS Netball,153
"Austin, K",goalAttempts,GIANTS Netball,342
"Austin, K",goalMisses,GIANTS Netball,93
"Austin, K",goals,GIANTS Netball,249
"Austin, K",interceptPassThrown,GIANTS Netball,21
"Austin, K",intercepts,GIANTS Netball,12
"Austin, K",minutesPlayed,GIANTS Netball,747
"Austin, K",missedGoalTurnover,GIANTS Netball,29
"Austin, K",netPoints,GIANTS Netball,720.5
"Austin, K",obstructionPenalties,GIANTS Netball,13
"Austin, K",offsides,GIANTS Netball,1
"Austin, K",passes,GIANTS Netball,234
"Austin, K",penalties,GIANTS Netball,76
"Austin, K",pickups,GIANTS Netball,34
"Austin, K",points,GIANTS Netball,291
"Austin, K",possessionChanges,GIANTS Netball,104
"Austin, K",possessions,GIANTS Netball,733
"Austin, K",quartersPlayed,GIANTS Netball,51
"Austin, K",rebounds,GIANTS Netball,16
"Austin, K",tossUpWin,GIANTS Netball,0
"Bassett, C",attempt_from_zone1,GIANTS Netball,220
"Bassett, C",attempt_from_zone2,GIANTS Netball,1
"Bassett, C",attempts1,GIANTS Netball,220
"Bassett, C",attempts2,GIANTS Netball,1
"Bassett, C",badHands,GIANTS Netball,11
"Bassett, C",badPasses,GIANTS Netball,1
"Bassett, C",blocked,GIANTS Netball,0
"Bassett, C",blocks,GIANTS Netball,0
"Bassett, C",breaks,GIANTS Netball,0
"Bassett, C",centrePassReceives,GIANTS Netball,0
"Bassett, C",centrePassToGoalPerc,GIANTS Netball,0
"Bassett, C",contactPenalties,GIANTS Netball,4
"Bassett, C",deflections,GIANTS Netball,1
"Bassett, C",deflectionWithGain,GIANTS Netball,1
"Bassett, C",deflectionWithNoGain,GIANTS Netball,0
"Bassett, C",disposals,GIANTS Netball,233
"Bassett, C",feeds,GIANTS Netball,12
"Bassett, C",feedWithAttempt,GIANTS Netball,10
"Bassett, C",gain,GIANTS Netball,1
"Bassett, C",gainToGoalPerc,GIANTS Netball,0
"Bassett, C",generalPlayTurnovers,GIANTS Netball,20
"Bassett, C",goal_from_zone1,GIANTS Netball,192
"Bassett, C",goal_from_zone2,GIANTS Netball,0
"Bassett, C",goal1,GIANTS Netball,192
"Bassett, C",goal2,GIANTS Netball,0
"Bassett, C",goalAssists,GIANTS Netball,6
"Bassett, C",goalAttempts,GIANTS Netball,221
"Bassett, C",goalMisses,GIANTS Netball,29
"Bassett, C",goals,GIANTS Netball,192
"Bassett, C",interceptPassThrown,GIANTS Netball,2
"Bassett, C",intercepts,GIANTS Netball,0
"Bassett, C",minutesPlayed,GIANTS Netball,287
"Bassett, C",missedGoalTurnover,GIANTS Netball,11
"Bassett, C",netPoints,GIANTS Netball,177.5
"Bassett, C",obstructionPenalties,GIANTS Netball,8
"Bassett, C",offsides,GIANTS Netball,0
"Bassett, C",passes,GIANTS Netball,12
"Bassett, C",penalties,GIANTS Netball,13
"Bassett, C",pickups,GIANTS Netball,4
"Bassett, C",points,GIANTS Netball,192
"Bassett, C",possessionChanges,GIANTS Netball,31
"Bassett, C",possessions,GIANTS Netball,237
"Bassett, C",quartersPlayed,GIANTS Netball,23
"Bassett, C",rebounds,GIANTS Netball,12
"Bassett, C",tossUpWin,GIANTS Netball,0
"Black, K",attempt_from_zone1,Collingwood Magpies,0
"Black, K",attempt_from_zone2,Collingwood Magpies,0
"Black, K",attempts1,Collingwood Magpies,0
"Black, K",attempts2,Collingwood Magpies,0
"Black, K",badHands,Collingwood Magpies,0
"Black, K",badPasses,Collingwood Magpies,0
"Black, K",blocked,Collingwood Magpies,0
"Black, K",blocks,Collingwood Magpies,0
"Black, K",breaks,Collingwood Magpies,0
"Black, K",centrePassReceives,Collingwood Magpies,0
"Black, K",centrePassToGoalPerc,Collingwood Magpies,0
"Black, K",contactPenalties,Collingwood Magpies,1
"Black, K",deflections,Collingwood Magpies,0
"Black, K",deflectionWithGain,Collingwood Magpies,0
"Black, K",deflectionWithNoGain,Collingwood Magpies,0
"Black, K",disposals,Collingwood Magpies,0
"Black, K",feeds,Collingwood Magpies,0
"Black, K",feedWithAttempt,Collingwood Magpies,0
"Black, K",gain,Collingwood Magpies,0
"Black, K",gainToGoalPerc,Collingwood Magpies,0
"Black, K",generalPlayTurnovers,Collingwood Magpies,1
"Black, K",goal_from_zone1,Collingwood Magpies,0
"Black, K",goal_from_zone2,Collingwood Magpies,0
"Black, K",goal1,Collingwood Magpies,0
"Black, K",goal2,Collingwood Magpies,0
"Black, K",goalAssists,Collingwood Magpies,0
"Black, K",goalAttempts,Collingwood Magpies,0
"Black, K",goalMisses,Collingwood Magpies,0
"Black, K",goals,Collingwood Magpies,0
"Black, K",interceptPassThrown,Collingwood Magpies,1
"Black, K",intercepts,Collingwood Magpies,0
"Black, K",minutesPlayed,Collingwood Magpies,6
"Black, K",missedGoalTurnover,Collingwood Magpies,0
"Black, K",netPoints,Collingwood Magpies,-2.5
"Black, K",obstructionPenalties,Collingwood Magpies,0
"Black, K",offsides,Collingwood Magpies,0
"Black, K",passes,Collingwood Magpies,0
"Black, K",penalties,Collingwood Magpies,1
"Black, K",pickups,Collingwood Magpies,1
"Black, K",points,Collingwood Magpies,0
"Black, K",possessionChanges,Collingwood Magpies,1
"Black, K",possessions,Collingwood Magpies,2
"Black, K",quartersPlayed,Collingwood Magpies,1
"Black, K",rebounds,Collingwood Magpies,0
"Black, K",tossUpWin,Collingwood Magpies,0
"Blackman, C",attempt_from_zone1,Adelaide Thunderbirds,0
"Blackman, C",attempt_from_zone2,Adelaide Thunderbirds,0
"Blackman, C",attempts1,Adelaide Thunderbirds,0
"Blackman, C",attempts2,Adelaide Thunderbirds,0
"Blackman, C",badHands,Adelaide Thunderbirds,0
"Blackman, C",badPasses,Adelaide Thunderbirds,0
"Blackman, C",blocked,Adelaide Thunderbirds,0
"Blackman, C",blocks,Adelaide Thunderbirds,0
"Blackman, C",breaks,Adelaide Thunderbirds,0
"Blackman, C",centrePassReceives,Adelaide Thunderbirds,2
"Blackman, C",centrePassToGoalPerc,Adelaide Thunderbirds,0
"Blackman, C",contactPenalties,Adelaide Thunderbirds,4
"Blackman, C",deflections,Adelaide Thunderbirds,1
"Blackman, C",deflectionWithGain,Adelaide Thunderbirds,0
"Blackman, C",deflectionWithNoGain,Adelaide Thunderbirds,1
"Blackman, C",disposals,Adelaide Thunderbirds,0
"Blackman, C",feeds,Adelaide Thunderbirds,0
"Blackman, C",feedWithAttempt,Adelaide Thunderbirds,0
"Blackman, C",gain,Adelaide Thunderbirds,1
"Blackman, C",gainToGoalPerc,Adelaide Thunderbirds,0
"Blackman, C",generalPlayTurnovers,Adelaide Thunderbirds,2
"Blackman, C",goal_from_zone1,Adelaide Thunderbirds,0
"Blackman, C",goal_from_zone2,Adelaide Thunderbirds,0
"Blackman, C",goal1,Adelaide Thunderbirds,0
"Blackman, C",goal2,Adelaide Thunderbirds,0
"Blackman, C",goalAssists,Adelaide Thunderbirds,0
"Blackman, C",goalAttempts,Adelaide Thunderbirds,0
"Blackman, C",goalMisses,Adelaide Thunderbirds,0
"Blackman, C",goals,Adelaide Thunderbirds,0
"Blackman, C",interceptPassThrown,Adelaide Thunderbirds,2
"Blackman, C",intercepts,Adelaide Thunderbirds,1
"Blackman, C",minutesPlayed,Adelaide Thunderbirds,22
"Blackman, C",missedGoalTurnover,Adelaide Thunderbirds,0
"Blackman, C",netPoints,Adelaide Thunderbirds,-2
"Blackman, C",obstructionPenalties,Adelaide Thunderbirds,0
"Blackman, C",offsides,Adelaide Thunderbirds,0
"Blackman, C",passes,Adelaide Thunderbirds,0
"Blackman, C",penalties,Adelaide Thunderbirds,4
"Blackman, C",pickups,Adelaide Thunderbirds,1
"Blackman, C",points,Adelaide Thunderbirds,0
"Blackman, C",possessionChanges,Adelaide Thunderbirds,2
"Blackman, C",possessions,Adelaide Thunderbirds,4
"Blackman, C",quartersPlayed,Adelaide Thunderbirds,2
"Blackman, C",rebounds,Adelaide Thunderbirds,0
"Blackman, C",tossUpWin,Adelaide Thunderbirds,0
"Bragg, M",attempt_from_zone1,Collingwood Magpies,0
"Bragg, M",attempt_from_zone2,Collingwood Magpies,0
"Bragg, M",attempts1,Collingwood Magpies,0
"Bragg, M",attempts2,Collingwood Magpies,0
"Bragg, M",badHands,Collingwood Magpies,6
"Bragg, M",badPasses,Collingwood Magpies,4
"Bragg, M",blocked,Collingwood Magpies,0
"Bragg, M",blocks,Collingwood Magpies,0
"Bragg, M",breaks,Collingwood Magpies,6
"Bragg, M",centrePassReceives,Collingwood Magpies,103
"Bragg, M",centrePassToGoalPerc,Collingwood Magpies,0
"Bragg, M",contactPenalties,Collingwood Magpies,97
"Bragg, M",deflections,Collingwood Magpies,39
"Bragg, M",deflectionWithGain,Collingwood Magpies,8
"Bragg, M",deflectionWithNoGain,Collingwood Magpies,31
"Bragg, M",disposals,Collingwood Magpies,27
"Bragg, M",feeds,Collingwood Magpies,14
"Bragg, M",feedWithAttempt,Collingwood Magpies,11
"Bragg, M",gain,Collingwood Magpies,26
"Bragg, M",gainToGoalPerc,Collingwood Magpies,0
"Bragg, M",generalPlayTurnovers,Collingwood Magpies,32
"Bragg, M",goal_from_zone1,Collingwood Magpies,0
"Bragg, M",goal_from_zone2,Collingwood Magpies,0
"Bragg, M",goal1,Collingwood Magpies,0
"Bragg, M",goal2,Collingwood Magpies,0
"Bragg, M",goalAssists,Collingwood Magpies,10
"Bragg, M",goalAttempts,Collingwood Magpies,0
"Bragg, M",goalMisses,Collingwood Magpies,0
"Bragg, M",goals,Collingwood Magpies,0
"Bragg, M",interceptPassThrown,Collingwood Magpies,15
"Bragg, M",intercepts,Collingwood Magpies,18
"Bragg, M",minutesPlayed,Collingwood Magpies,724
"Bragg, M",missedGoalTurnover,Collingwood Magpies,0
"Bragg, M",netPoints,Collingwood Magpies,298
"Bragg, M",obstructionPenalties,Collingwood Magpies,12
"Bragg, M",offsides,Collingwood Magpies,9
"Bragg, M",passes,Collingwood Magpies,14
"Bragg, M",penalties,Collingwood Magpies,109
"Bragg, M",pickups,Collingwood Magpies,23
"Bragg, M",points,Collingwood Magpies,0
"Bragg, M",possessionChanges,Collingwood Magpies,32
"Bragg, M",possessions,Collingwood Magpies,173
"Bragg, M",quartersPlayed,Collingwood Magpies,54
"Bragg, M",rebounds,Collingwood Magpies,0
"Bragg, M",tossUpWin,Collingwood Magpies,0
"Brandley, A",attempt_from_zone1,GIANTS Netball,0
"Brandley, A",attempt_from_zone2,GIANTS Netball,0
"Brandley, A",attempts1,GIANTS Netball,0
"Brandley, A",attempts2,GIANTS Netball,0
"Brandley, A",badHands,GIANTS Netball,2
"Brandley, A",badPasses,GIANTS Netball,1
"Brandley, A",blocked,GIANTS Netball,0
"Brandley, A",blocks,GIANTS Netball,1
"Brandley, A",breaks,GIANTS Netball,0
"Brandley, A",centrePassReceives,GIANTS Netball,15
"Brandley, A",centrePassToGoalPerc,GIANTS Netball,0
"Brandley, A",contactPenalties,GIANTS Netball,30
"Brandley, A",deflections,GIANTS Netball,13
"Brandley, A",deflectionWithGain,GIANTS Netball,2
"Brandley, A",deflectionWithNoGain,GIANTS Netball,11
"Brandley, A",disposals,GIANTS Netball,8
"Brandley, A",feeds,GIANTS Netball,4
"Brandley, A",feedWithAttempt,GIANTS Netball,4
"Brandley, A",gain,GIANTS Netball,11
"Brandley, A",gainToGoalPerc,GIANTS Netball,0
"Brandley, A",generalPlayTurnovers,GIANTS Netball,6
"Brandley, A",goal_from_zone1,GIANTS Netball,0
"Brandley, A",goal_from_zone2,GIANTS Netball,0
"Brandley, A",goal1,GIANTS Netball,0
"Brandley, A",goal2,GIANTS Netball,0
"Brandley, A",goalAssists,GIANTS Netball,3
"Brandley, A",goalAttempts,GIANTS Netball,0
"Brandley, A",goalMisses,GIANTS Netball,0
"Brandley, A",goals,GIANTS Netball,0
"Brandley, A",interceptPassThrown,GIANTS Netball,1
"Brandley, A",intercepts,GIANTS Netball,3
"Brandley, A",minutesPlayed,GIANTS Netball,242
"Brandley, A",missedGoalTurnover,GIANTS Netball,0
"Brandley, A",netPoints,GIANTS Netball,113
"Brandley, A",obstructionPenalties,GIANTS Netball,15
"Brandley, A",offsides,GIANTS Netball,1
"Brandley, A",passes,GIANTS Netball,4
"Brandley, A",penalties,GIANTS Netball,45
"Brandley, A",pickups,GIANTS Netball,5
"Brandley, A",points,GIANTS Netball,0
"Brandley, A",possessionChanges,GIANTS Netball,6
"Brandley, A",possessions,GIANTS Netball,36
"Brandley, A",quartersPlayed,GIANTS Netball,23
"Brandley, A",rebounds,GIANTS Netball,6
"Brandley, A",tossUpWin,GIANTS Netball,0
"Browne, K",attempt_from_zone1,Collingwood Magpies,0
"Browne, K",attempt_from_zone2,Collingwood Magpies,0
"Browne, K",attempts1,Collingwood Magpies,0
"Browne, K",attempts2,Collingwood Magpies,0
"Browne, K",badHands,Collingwood Magpies,6
"Browne, K",badPasses,Collingwood Magpies,6
"Browne, K",blocked,Collingwood Magpies,0
"Browne, K",blocks,Collingwood Magpies,0
"Browne, K",breaks,Collingwood Magpies,2
"Browne, K",centrePassReceives,Collingwood Magpies,163
"Browne, K",centrePassToGoalPerc,Collingwood Magpies,0
"Browne, K",contactPenalties,Collingwood Magpies,22
"Browne, K",deflections,Collingwood Magpies,5
"Browne, K",deflectionWithGain,Collingwood Magpies,1
"Browne, K",deflectionWithNoGain,Collingwood Magpies,3
"Browne, K",disposals,Collingwood Magpies,178
"Browne, K",feeds,Collingwood Magpies,167
"Browne, K",feedWithAttempt,Collingwood Magpies,121
"Browne, K",gain,Collingwood Magpies,1
"Browne, K",gainToGoalPerc,Collingwood Magpies,0
"Browne, K",generalPlayTurnovers,Collingwood Magpies,26
"Browne, K",goal_from_zone1,Collingwood Magpies,0
"Browne, K",goal_from_zone2,Collingwood Magpies,0
"Browne, K",goal1,Collingwood Magpies,0
"Browne, K",goal2,Collingwood Magpies,0
"Browne, K",goalAssists,Collingwood Magpies,92
"Browne, K",goalAttempts,Collingwood Magpies,0
"Browne, K",goalMisses,Collingwood Magpies,0
"Browne, K",goals,Collingwood Magpies,0
"Browne, K",interceptPassThrown,Collingwood Magpies,6
"Browne, K",intercepts,Collingwood Magpies,0
"Browne, K",minutesPlayed,Collingwood Magpies,357
"Browne, K",missedGoalTurnover,Collingwood Magpies,0
"Browne, K",netPoints,Collingwood Magpies,286.5
"Browne, K",obstructionPenalties,Collingwood Magpies,6
"Browne, K",offsides,Collingwood Magpies,0
"Browne, K",passes,Collingwood Magpies,167
"Browne, K",penalties,Collingwood Magpies,28
"Browne, K",pickups,Collingwood Magpies,13
"Browne, K",points,Collingwood Magpies,0
"Browne, K",possessionChanges,Collingwood Magpies,26
"Browne, K",possessions,Collingwood Magpies,192
"Browne, K",quartersPlayed,Collingwood Magpies,27
"Browne, K",rebounds,Collingwood Magpies,0
"Browne, K",tossUpWin,Collingwood Magpies,0
"Browne, M",attempt_from_zone1,Collingwood Magpies,0
"Browne, M",attempt_from_zone2,Collingwood Magpies,0
"Browne, M",attempts1,Collingwood Magpies,0
"Browne, M",attempts2,Collingwood Magpies,0
